CBSA,ZIP,num_listings
"Baltimore-Columbia-Towson, MD",21028,2
"Baltimore-Columbia-Towson, MD",21666,17
"Baltimore-Columbia-Towson, MD",21132,0
"Baltimore-Columbia-Towson, MD",20751,1
"Baltimore-Columbia-Towson, MD",20711,0
"Baltimore-Columbia-Towson, MD",20778,1
"Baltimore-Columbia-Towson, MD",20765,1
"Baltimore-Columbia-Towson, MD",21619,13
"Baltimore-Columbia-Towson, MD",17327,9
"Baltimore-Columbia-Towson, MD",21776,1
"Baltimore-Columbia-Towson, MD",20764,8
"Baltimore-Columbia-Towson, MD",20872,4
"Baltimore-Columbia-Towson, MD",21638,6
"Baltimore-Columbia-Towson, MD",21078,39
"Baltimore-Columbia-Towson, MD",21034,1
"Baltimore-Columbia-Towson, MD",21158,15
"Baltimore-Columbia-Towson, MD",21617,5
"Baltimore-Columbia-Towson, MD",17321,1
"Baltimore-Columbia-Towson, MD",21160,5
"Baltimore-Columbia-Towson, MD",17314,5
"Baltimore-Columbia-Towson, MD",21620,7
"Baltimore-Columbia-Towson, MD",21623,1
"Baltimore-Columbia-Towson, MD",21658,4
"Baltimore-Columbia-Towson, MD",21918,3
"Baltimore-Columbia-Towson, MD",17352,3
"Baltimore-Columbia-Towson, MD",17329,1
"Baltimore-Columbia-Towson, MD",17331,125
"Baltimore-Columbia-Towson, MD",21791,4
"Baltimore-Columbia-Towson, MD",21787,9
"Baltimore-Columbia-Towson, MD",20772,57
"Baltimore-Columbia-Towson, MD",20733,3
"Baltimore-Columbia-Towson, MD",20779,3
"Baltimore-Columbia-Towson, MD",21651,0
"Baltimore-Columbia-Towson, MD",21668,1
"Baltimore-Columbia-Towson, MD",21628,1
"Baltimore-Columbia-Towson, MD",21640,1
"Baltimore-Columbia-Towson, MD",21607,0
"Baltimore-Columbia-Towson, MD",20754,2
"Baltimore-Columbia-Towson, MD",21601,24
"Baltimore-Columbia-Towson, MD",21679,1
"Baltimore-Columbia-Towson, MD",21657,1
"Baltimore-Columbia-Towson, MD",17340,12
